,model_number,num_zones,star_age,time_step,star_mass,log_abs_mdot,log_Teff,log_L,radius,log_g,log_center_T,log_center_Rho,center_mu,center_h1,center_he4,center_c12,center_n14,center_o16,center_fe56,surface_h1,surface_he4,surface_c12,surface_n14,surface_o16,dynamic_timescale,kh_timescale,nuc_timescale,log_LH,log_LHe,log_LZ,log_Lnuc,log_abs_Lgrav,pp,cno,tri_alfa,burn_c,burn_n,burn_o,mix_type_1,mix_qtop_1,mix_type_2,mix_qtop_2,mix_type_3,mix_qtop_3,mix_type_4,mix_qtop_4,mix_type_5,mix_qtop_5,burn_type_1,burn_qtop_1,burn_type_2,burn_qtop_2,burn_type_3,burn_qtop_3,burn_type_4,burn_qtop_4,burn_type_5,burn_qtop_5
1,1.0,1644.0,0,1e-05,0.34999999999999815,-9.742794049696414,3.5824578094438757,1.3300076583745792,10.55229798631407,1.935263304259069,5.477661480224365,-2.3928851978244907,0.6223552250465484,0.7000000000000001,0.2799702023647489,0.003441610610812041,0.0010081585468366043,0.009360446609139978,0.0,0.7,0.27997020236474884,0.003441610610812024,0.0010081585468366043,0.009360446609139976,580123.0471224501,12745.618718895943,163704412.65177092,-20.400672191872083,-98.99999999999999,-98.99999999999999,-20.400672191872083,1.3300076583897462,-20.400672191872083,-98.99999999999999,-98.99999999999999,-98.99999999999999,-98.99999999999999,-98.99999999999999,0.0,0.017058001706937793,1.0,0.869922130544076,0.0,0.9094412116634393,1.0,1.0,-1.0,1.0,0.0,1.0,-9999.0,-1.0,-9999.0,-1.0,-9999.0,-1.0,-9999.0,-1.0
2,2.0,1563.0,0,1.5e-05,0.34999999999999554,-9.743555307881309,3.582182413685933,1.3287688482417368,10.55063097586363,1.9354005313601388,5.477661418268131,-2.392885288032541,0.6223552255674752,0.7000000000000001,0.2799702023647489,0.003441610610812041,0.0010081585468366043,0.009360446609139978,0.0,0.7000000000000001,0.2799702023647489,0.0034416106108120246,0.0010081585468366045,0.009360446609139976,579985.5842225958,12784.046635085178,164172040.51030365,-20.400673317574185,-98.99999999999999,-98.99999999999999,-20.400673317574185,1.328768847931131,-20.400673317574185,-98.99999999999999,-98.99999999999999,-98.99999999999999,-98.99999999999999,-98.99999999999999,0.0,0.017058021701027215,1.0,0.8699221305441992,0.0,0.9094412116631457,1.0,1.0,-1.0,1.0,0.0,1.0,-9999.0,-1.0,-9999.0,-1.0,-9999.0,-1.0,-9999.0,-1.0
3,3.0,1551.0,0,2.2499999999999998e-05,0.3499999999999915,-9.744862731564684,3.5815400339189165,1.3261244002491912,10.549720863754008,1.9354754602846127,5.477661404995824,-2.392885301935056,0.6223552256893335,0.7000000000000001,0.2799702023647489,0.003441610610812041,0.0010081585468366043,0.009360446609139978,0.0,0.7,0.27997020236474884,0.0034416106108120237,0.0010081585468366045,0.009360446609139974,579910.540295652,12863.236623309002,165174744.65485573,-20.400673523984352,-98.99999999999999,-98.99999999999999,-20.400673523984352,1.3261244001640056,-20.400673523984352,-98.99999999999999,-98.99999999999999,-98.99999999999999,-98.99999999999999,-98.99999999999999,0.0,0.017058032080750365,1.0,0.8699221305443777,0.0,0.9094412116628224,1.0,1.0,-1.0,1.0,0.0,1.0,-9999.0,-1.0,-9999.0,-1.0,-9999.0,-1.0,-9999.0,-1.0
4,4.0,1550.0,0,3.375e-05,0.3499999999999855,-9.747544644019463,3.580594108974325,1.3222384984165556,10.54847960953761,1.9355776623388752,5.477661395699103,-2.3928853077976937,0.6223552257820273,0.7000000000000001,0.2799702023647489,0.003441610610812041,0.0010081585468366043,0.009360446609139978,0.0,0.7000000000000001,0.2799702023647489,0.0034416106108120237,0.0010081585468366045,0.009360446609139974,579808.1970338022,12980.375664837782,166659297.14403257,-20.40067364467123,-98.99999999999999,-98.99999999999999,-20.40067364467123,1.3222384982894815,-20.40067364467123,-98.99999999999999,-98.99999999999999,-98.99999999999999,-98.99999999999999,-98.99999999999999,0.0,0.017058073289841692,1.0,0.8699221305446383,0.0,0.9094412116624575,1.0,1.0,-1.0,1.0,0.0,1.0,-9999.0,-1.0,-9999.0,-1.0,-9999.0,-1.0,-9999.0,-1.0
5,5.0,1550.0,0,5.0625000000000004e-05,0.3499999999999765,-9.751481646879226,3.57951064272338,1.3177813272572172,10.54698223828135,1.9357009684944226,5.477661400550836,-2.3928852898954727,0.6223552257617526,0.7000000000000001,0.2799702023647489,0.003441610610812041,0.0010081585468366043,0.009360446609139978,0.0,0.7000000000000001,0.27997020236474884,0.003441610610812023,0.0010081585468366043,0.009360446609139974,579684.7445530262,13116.141273485704,168378531.32861632,-20.400673490057038,-98.99999999999999,-98.99999999999999,-20.400673490057038,1.3177813272156171,-20.400673490057038,-98.99999999999999,-98.99999999999999,-98.99999999999999,-98.99999999999999,-98.99999999999999,0.0,0.017058142062753783,1.0,0.8699221305450264,0.0,0.909441211662026,1.0,1.0,-1.0,1.0,0.0,1.0,-9999.0,-1.0,-9999.0,-1.0,-9999.0,-1.0,-9999.0,-1.0
6,6.0,1550.0,0,7.593750000000001e-05,0.3499999999999631,-9.756000471116334,3.578323656488576,1.312883064209132,10.545157134217916,1.9358512866032764,5.47766140742569,-2.392885267062495,0.6223552257282254,0.7000000000000001,0.2799702023647489,0.003441610610812041,0.0010081585468366043,0.009360446609139978,0.0,0.7000000000000002,0.27997020236474884,0.0034416106108120224,0.0010081585468366043,0.009360446609139974,579534.283617229,13267.207081761426,170288366.74734786,-20.40067329019962,-98.99999999999999,-98.99999999999999,-20.40067329019962,1.3128830642380416,-20.40067329019962,-98.99999999999999,-98.99999999999999,-98.99999999999999,-98.99999999999999,-98.99999999999999,0.0,0.01705826207785875,1.0,0.8699221305456223,0.0,0.9094412116614882,1.0,1.0,-1.0,1.0,0.0,1.0,-9999.0,-1.0,-9999.0,-1.0,-9999.0,-1.0,-9999.0,-1.0
7,7.0,1550.0,0,0.00011390625000000002,0.3499999999999434,-9.760973893218837,3.5769882395189114,1.3073554101211384,10.542899399060527,1.9360372728125836,5.4776614178978935,-2.3928852375812064,0.6223552256671225,0.7000000000000001,0.2799702023647489,0.003441610610812041,0.0010081585468366043,0.009360446609139978,0.0,0.7000000000000001,0.2799702023647488,0.0034416106108120215,0.0010081585468366043,0.009360446609139974,579348.1747418569,13440.02743029466,172469631.0153143,-20.400673023527343,-98.99999999999999,-36.12359947967774,-20.400673023527343,1.3073554101329214,-20.400673023527343,-98.99999999999999,-98.99999999999999,-98.99999999999999,-98.99999999999999,-98.99999999999999,0.0,0.017058466212403006,1.0,0.8707906907200118,0.0,0.9088085278896517,1.0,1.0,-1.0,1.0,0.0,1.0,-9999.0,-1.0,-9999.0,-1.0,-9999.0,-1.0,-9999.0,-1.0
8,8.0,1550.0,0,9.946971750375753e-05,0.34999999999992637,-9.766594540411473,3.576013196629446,1.3033121904372968,10.541163229384246,1.9361803209385426,5.4776614273034605,-2.392885214104238,0.6223552256065608,0.7000000000000001,0.2799702023647489,0.003441610610812041,0.0010081585468366043,0.009360446609139978,0.0,0.7000000000000003,0.2799702023647489,0.003441610610812022,0.0010081585468366047,0.009360446609139978,579205.0729322198,13567.970755574692,174082796.1983645,-20.400672804922273,-98.99999999999999,-36.12359947967774,-20.400672804922273,1.303312190412841,-20.400672804922273,-98.99999999999999,-98.99999999999999,-98.99999999999999,-98.99999999999999,-98.99999999999999,0.0,0.017058829903117,1.0,0.8707906907223656,0.0,0.9088085278853938,1.0,1.0,-1.0,1.0,0.0,1.0,-9999.0,-1.0,-9999.0,-1.0,-9999.0,-1.0,-9999.0,-1.0
9,9.0,1550.0,0,0.0001492045762556363,0.3499999999999011,-9.770709284158283,3.574800644252157,1.2982759883857542,10.538906272487026,1.936366313480901,5.477661441852418,-2.3928851820901182,0.622355225504738,0.7000000000000001,0.2799702023647489,0.003441610610812041,0.0010081585468366043,0.009360446609139978,0.0,0.7000000000000001,0.2799702023647488,0.00344161061081202,0.0010081585468366043,0.009360446609139974,579019.0634453836,13729.164135729303,176113259.86520472,-20.40067249656232,-98.99999999999999,-98.99999999999999,-20.40067249656232,1.2982759883661712,-20.40067249656232,-98.99999999999999,-98.99999999999999,-98.99999999999999,-98.99999999999999,-98.99999999999999,0.0,0.01705923697282689,1.0,0.8707906907235033,0.0,0.9081718666790946,1.0,1.0,-1.0,1.0,0.0,1.0,-9999.0,-1.0,-9999.0,-1.0,-9999.0,-1.0,-9999.0,-1.0
10,10.0,1550.0,0,0.00022380686438345447,0.34999999999986353,-9.775838482480989,3.5733326054523453,1.2921690459235162,10.536057898094024,1.9366011007438448,5.477661464083857,-2.392885138472146,0.6223552253391129,0.7000000000000001,0.2799702023647489,0.003441610610812041,0.0010081585468366043,0.009360446609139978,0.0,0.7000000000000002,0.27997020236474884,0.0034416106108120193,0.0010081585468366043,0.009360446609139974,578784.3400896617,13927.348188811096,178607214.91827893,-20.40067206245227,-98.99999999999999,-35.82256948401376,-20.40067206245227,1.2921690459535076,-20.40067206245227,-98.99999999999999,-98.99999999999999,-98.99999999999999,-98.99999999999999,-98.99999999999999,0.0,0.017059982119095714,1.0,0.8716541242693053,0.0,0.9081718666699118,1.0,1.0,-1.0,1.0,0.0,1.0,-9999.0,-1.0,-9999.0,-1.0,-9999.0,-1.0,-9999.0,-1.0
11,11.0,1550.0,0,0.00018934554660530762,0.3499999999998323,-9.782062818574675,3.5722771982170083,1.2877737931252269,10.533952036443194,1.9367747246007465,5.477661482924775,-2.3928851037931076,0.6223552251944181,0.7000000000000001,0.2799702023647489,0.0034416106108120415,0.0010081585468366043,0.009360446609139978,0.0,0.7000000000000002,0.27997020236474884,0.0034416106108120198,0.0010081585468366045,0.009360446609139976,578610.824693411,14071.827348037341,180423976.87048775,-20.400671710678306,-98.99999999999999,-98.99999999999999,-20.400671710678306,1.2877737931452593,-20.400671710678306,-98.99999999999999,-98.99999999999999,-98.99999999999999,-98.99999999999999,-98.99999999999999,0.0,0.01706145845510007,1.0,0.8716541243662096,0.0,0.9075312073428032,1.0,1.0,-1.0,1.0,0.0,1.0,-9999.0,-1.0,-9999.0,-1.0,-9999.0,-1.0,-9999.0,-1.0
12,12.0,1550.0,0,0.0002840183199079614,0.3499999999997858,-9.786544883301396,3.570991214968052,1.2824105053752088,10.531292112347758,1.9369940793548817,5.477661510919271,-2.3928850551537155,0.6223552249739586,0.7000000000000001,0.2799702023647489,0.0034416106108120415,0.0010081585468366043,0.009360446609139978,0.0,0.7000000000000001,0.27997020236474884,0.00344161061081202,0.0010081585468366043,0.009360446609139976,578391.6813403915,14250.28214391325,182665924.38775706,-20.40067120934601,-98.99999999999999,-98.99999999999999,-20.40067120934601,1.2824105053536947,-20.40067120934601,-98.99999999999999,-98.99999999999999,-98.99999999999999,-98.99999999999999,-98.99999999999999,0.0,0.01706331294888208,1.0,0.8716541243685051,0.0,0.9068865291589295,1.0,1.0,-1.0,1.0,0.0,1.0,-9999.0,-1.0,-9999.0,-1.0,-9999.0,-1.0,-9999.0,-1.0
13,13.0,1550.0,0,0.00042602747986194217,0.3499999999997171,-9.792017848428452,3.569506217009733,1.2762057161816354,10.52808204010746,1.9372588767150936,5.477661552004839,-2.392884987015434,0.6223552246442587,0.7000000000000001,0.2799702023647489,0.003441610610812041,0.0010081585468366043,0.009360446609139978,0.0,0.7000000000000002,0.2799702023647488,0.003441610610812019,0.0010081585468366043,0.009360446609139974,578127.2497443403,14459.745559596498,185294414.4958126,-20.400670498584834,-98.99999999999999,-36.12359947967774,-20.400670498584834,1.2762057161766522,-20.400670498584834,-98.99999999999999,-98.99999999999999,-98.99999999999999,-98.99999999999999,-98.99999999999999,1.0,0.036362390368930644,0.0,0.06863239699177118,1.0,0.8716541243711303,0.0,0.9062378112950925,1.0,1.0,0.0,1.0,-9999.0,-1.0,-9999.0,-1.0,-9999.0,-1.0,-9999.0,-1.0
14,14.0,1550.0,0,0.0003534398701092006,0.34999999999966086,-9.79835503630209,3.568496705006759,1.2719818322353347,10.525829781833195,1.9374447126494265,5.477661585449872,-2.39288493284038,0.622355224373427,0.7000000000000001,0.2799702023647489,0.0034416106108120406,0.0010081585468366043,0.009360446609139978,0.0,0.7000000000000002,0.27997020236474884,0.003441610610812019,0.0010081585468366043,0.009360446609139974,577941.7427020282,14604.189274358705,187105352.77035424,-20.400669930891087,-98.99999999999999,-98.99999999999999,-20.400669930891087,1.2719818322351975,-20.400669930891087,-98.99999999999999,-98.99999999999999,-98.99999999999999,-98.99999999999999,-98.99999999999999,0.0,0.06582942892543506,1.0,0.8725124558634617,0.0,0.9049281735416218,1.0,1.0,-1.0,1.0,0.0,1.0,-9999.0,-1.0,-9999.0,-1.0,-9999.0,-1.0,-9999.0,-1.0
15,15.0,1550.0,0,0.0005301598051638009,0.3499999999995773,-9.802671838215522,3.567317953834454,1.2670406426133498,10.52308915969365,1.9376708975820918,5.477661634389688,-2.3928848551111215,0.6223552239741968,0.7000000000000001,0.2799702023647489,0.0034416106108120406,0.0010081585468366043,0.009360446609139978,0.0,0.7000000000000002,0.27997020236474884,0.0034416106108120193,0.0010081585468366045,0.009360446609139976,577716.0383830058,14775.14443306237,189246301.95101893,-20.40066911442584,-98.99999999999999,-98.99999999999999,-20.40066911442584,1.2670406426095788,-20.40066911442584,-98.99999999999999,-98.99999999999999,-98.99999999999999,-98.99999999999999,-98.99999999999999,0.0,0.06582942835125886,1.0,0.8725124558813826,0.0,0.9042672103676904,1.0,1.0,-1.0,1.0,0.0,1.0,-9999.0,-1.0,-9999.0,-1.0,-9999.0,-1.0,-9999.0,-1.0
